===== 计算报告 #1 =====
生成时间,2025-10-26 14:14:25
债权人,慈溪市东航建筑起重机械安装队
计算类型,LPR浮动利率

[基本参数]
参数名,参数值
本金,"229,000.00"
起息日,2022-05-22
停息日,2023-05-11
LPR期限,1年期
LPR倍数,1.5
基准天数,360
总天数,355
分段数量,2

[计算明细]
期间,天数,LPR利率,倍数,实际利率,利息,计算公式
2022-05-22 至 2022-08-21,92,3.7%,1.5,LPR 3.7% × 1.5 = 5.55%,"3,247.98",229000 × 92 ÷ 360 × 5.55% = 3247.98
2022-08-22 至 2023-05-11,263,3.65%,1.5,LPR 3.65% × 1.5 = 5.475%,"9,159.52",229000 × 263 ÷ 360 × 5.475% = 9159.52

[计算结果]
项目,金额(元)
利息总额,"12,407.50"
